Main File Name,Sub Query / File Name,Data Purpose,Customer,Data / File Path,Sheet / Table Name,Refresh Frequency,Manual v Auto,Redundant (Y/N/Maybe),In Fabric (Y/N/Maybe),Notes,MCode Audit,MCode Notes
Atlas VMI_Open Upload File -- OR_Inventory_3_Nest,OR Inventory,POTENTIALLY DEPRECATED... SEEMS LIKE THE ORIGINAL HAS BEEN UPDATED AND THE NEST NO LONGER EXISTS,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Columbia Dist. Replenishment Model\Sazerac Sales and Inventory - WA.xlsx,OR Inventory,,,POTENTIALLY DEPRECATED... SEEMS LIKE THE ORIGINAL HAS BEEN UPDATED AND THE NEST NO LONGER EXISTS,,,Done,POTENTIALLY DEPRECATED... SEEMS LIKE THE ORIGINAL HAS BEEN UPDATED AND THE NEST NO LONGER EXISTS
Atlas VMI_Open Upload File -- CombinedSGWS_Nest,Append1,Master Append of all subfiles,,Sources within file,None,,,,,,Done,
Atlas VMI_Open Upload File -- CombinedSGWS_Nest,SGWS-VMI 852-2501-BULK,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\SGWS-VMI 852-2501-BULK.CSV,None,,,,,,Done,
Atlas VMI_Open Upload File -- CombinedSGWS_Nest,SGWS-VMI 852-9501-1000,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\SGWS-VMI 852-9501-1000.csv,None,,,,,,Done,
Atlas VMI_Open Upload File -- CombinedSGWS_Nest,SGWS-VMI 852-1401-BULK,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\SGWS-VMI 852-1401-BULK.csv,None,,,,,,Done,
Atlas VMI_Open Upload File -- CombinedSGWS_Nest,SGWS-VMI 852-9201-1000,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\SGWS-VMI 852-9201-1000.csv,None,,,,,,Done,
Atlas VMI_Open Upload File -- CombinedSGWS_Nest,SGWS-VMI 852-9202-1000,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\SGWS-VMI 852-9202-1000.csv,None,,,,,,Done,
Atlas VMI_Open Upload File -- CombinedSGWS_Nest,SGWS-VMI 852-9401-1000,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\SGWS-VMI 852-9401-1000.csv,None,,,,,,Done,
Atlas VMI_Open Upload File -- CombinedSGWS_Nest,SGWS-VMI 852-4501-LIND,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\SGWS-VMI 852-4501-LIND.csv,None,,,,,,Done,
Atlas VMI_Open Upload File -- CombinedSGWS_Nest,SGWS-VMI 852-4601-SL01,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\SGWS-VMI 852-4601-SL01.csv,None,,,,,,Done,
Atlas VMI_Open Upload File -- CombinedSGWS_Nest,SGWS-VMI 852-7201-LASV,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\SGWS-VMI 852-7201-LASV.csv,None,,,,,,Done,
Atlas VMI_Open Upload File -- CombinedSGWS_Nest,SGWS-VMI 852-7202-SPAR,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\SGWS-VMI 852-7202-SPAR.csv,None,,,,,,Done,
Atlas VMI_Open Upload File -- CombinedSGWS_Nest,SGWS-VMI 852-9203-1000,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\SGWS-VMI 852-9203-1000.CSV,None,,,,,,Done,
Atlas VMI_Open Upload File -- CombinedSGWS_Nest,SGWS-VMI 852-4501-METR,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Files\Inventory Files\SGWS-VMI 852-4501-METR.CSV,None,,,,,,Done,
375 List,BL_ADT_BAI,,,SQL Server: y2tjz7qjmziezabg56725hmy54-sll2odfgmm6ene2p55ripmzeaq.datawarehouse.fabric.microsoft.com,,,,,Yes,,Done,
375 List,375 REF TABLE,Used to merge into BL_ADT_BI,,Excel.Currentworkbook -> [Table2],,,,,,,Done,
375 List,vw_BuyList_DetailInfo,,,Oracle Probably? ,,,,,,,Done,Not needed
375 List,[Table2],Probably not even needed,,Unsure,,,,,,,Done,Not needed
Atlas Software Export,Atlas Software Export,,,,,,,,,,None,
OOS Info,Not currently functional,Request from boss to layer in OOS information to the final Atlas upload,,,,,,,,"Per Brian's research with team, biggest reason we have Out of stockk exclusions sounds like we already have inventory.  Let's get the OOS flags routed back through the Atlas upload data to pull these out ahead of time",None,
Final Frcst,Atlas Forecast,,,L:\VMI Operations\Forecast & Replenishment\Replenishment and Forecast by Customer\Atlas Uploads\Atlas Forecast.csv,,,,,,,Done,
,,,,,,,,,,,,
,,,,,,,,,,,,
